WHO report date,"Total Cases, Guinea","Total Deaths, Guinea","Total Cases, Liberia","Total Deaths, Liberia","Total Cases, Sierra Leone","Total Deaths, Sierra Leone"
3/1/2014,0,0,0,0,0,0
3/2/2014,0,0,0,0,0,0
3/3/2014,0,0,0,0,0,0
3/4/2014,0,0,0,0,0,0
3/5/2014,0,0,0,0,0,0
3/6/2014,0,0,0,0,0,0
3/7/2014,0,0,0,0,0,0
3/8/2014,0,0,0,0,0,0
3/9/2014,0,0,0,0,0,0
3/10/2014,0,0,0,0,0,0
3/11/2014,0,0,0,0,0,0
3/12/2014,0,0,0,0,0,0
3/13/2014,0,0,0,0,0,0
3/14/2014,0,0,0,0,0,0
3/15/2014,0,0,0,0,0,0
3/16/2014,0,0,0,0,0,0
3/17/2014,0,0,0,0,0,0
3/18/2014,0,0,0,0,0,0
3/19/2014,0,0,0,0,0,0
3/20/2014,0,0,0,0,0,0
3/21/2014,0,0,0,0,0,0
3/22/2014,0,0,0,0,0,0
3/23/2014,0,0,0,0,0,0
3/24/2014,0,0,0,0,0,0
3/25/2014,86,59,0,0,0,0
3/26/2014,86,60,0,0,0,0
3/27/2014,103,66,8,6,6,5
3/31/2014,112,70,8,6,0,0
4/1/2014,122,80,8,2,0,0
4/2/2014,127,83,8,5,0,0
4/7/2014,151,95,18,7,0,0
4/10/2014,157,101,22,14,0,0
4/17/2014,197,122,27,13,0,0
4/21/2014,203,129,27,13,0,0
4/23/2014,208,136,34,11,0,0
4/30/2014,221,146,13,11,0,0
5/5/2014,231,155,13,11,0,0
5/14/2014,233,157,12,11,0,0
5/23/2014,258,174,12,9,0,0
5/27/2014,258,174,12,9,1,4
5/28/2014,281,186,12,9,16,5
6/2/2014,291,193,13,9,50,6
6/5/2014,344,215,13,9,81,7
6/10/2014,372,236,15,10,89,7
6/11/2014,376,241,15,10,117,19
6/18/2014,398,264,33,24,97,49
6/24/2014,390,270,51,34,158,34
7/2/2014,413,303,107,65,239,99
7/7/2014,412,305,115,75,252,101
7/8/2014,408,307,131,84,305,127
7/14/2014,409,309,142,88,337,142
7/16/2014,406,304,172,105,386,192
7/21/2014,410,310,196,116,442,206
7/24/2014,415,314,224,127,454,219
7/28/2014,427,319,249,129,525,224
7/31/2014,460,339,329,156,533,233
8/3/2014,472,346,391,227,574,252
8/4/2014,485,358,486,255,646,273
8/8/2014,495,367,554,294,717,298
8/12/2014,506,373,599,323,730,315
8/13/2014,510,377,670,355,783,334
8/15/2014,519,380,786,348,810,348
8/19/2014,543,394,834,466,848,365
8/21/2014,579,396,972,576,907,374
8/22/2014,607,406,1082,624,910,392
8/28/2014,648,430,1378,694,1026,422
9/6/2014,812,517,1871,1089,1261,491
9/8/2014,862,555,2046,1224,1361,509
9/12/2014,861,557,2081,1137,1424,524
9/16/2014,936,595,2407,1296,1620,562
9/18/2014,942,601,2710,1459,1673,562
9/22/2014,1008,632,3022,1578,1813,593
9/24/2014,1022,635,3280,1677,1940,597
9/26/2014,1074,648,3458,1830,2021,605
10/1/2014,1157,710,3696,1998,2304,622
10/3/2014,1199,739,3834,2069,2437,623
10/8/2014,1298,768,3924,2210,2789,879
10/10/2014,1350,778,4076,2316,2950,930
10/15/2014,1472,843,4249,2458,3252,1183
10/17/2014,1519,862,4262,2484,3410,1200
10/22/2014,1540,904,4665,2705,3706,1359
10/25/2014,1553,926,4665,2705,3896,1281
10/29/2014,1906,997,6535,2413,5235,1500
10/31/2014,1667,1018,6535,2413,5338,1510
11/5/2014,1731,1041,6525,2697,4759,1070
11/7/2014,1760,1054,6619,2766,4862,1130
11/12/2014,1878,1142,6822,2836,5368,1169
11/14/2014,1919,1166,6878,2812,5586,1187
11/19/2014,1971,1192,7069,2964,6073,1250
11/21/2014,2047,1214,7082,2963,6190,1267
11/26/2014,2134,1260,7168,3016,6599,1398
11/28/2014,2155,1312,7635,3145,7109,1530
12/3/2014,2164,1327,7635,3145,7312,1583
12/10/2014,2292,1428,7719,3177,7897,1768
12/17/2014,2416,1525,7797,3290,8356,2085
12/24/2014,2597,1607,7862,3384,9004,2582
12/31/2014,2707,1708,8018,3423,9446,2758
1/7/2015,2775,1781,8157,3496,9780,2943
1/14/2015,2806,1814,8331,3538,10124,3062
1/21/2015,2871,1876,8478,3605,10340,3145
1/28/2015,2917,1910,8622,3686,10518,3199
2/4/2015,2975,1944,8745,3746,10740,3276
2/11/2015,3044,1995,8881,3826,10934,3341
2/18/2015,3108,2057,9007,3900,11103,3408
2/25/2015,3155,2091,9238,4037,11301,3461
3/4/2015,3219,2129,9249,4117,11466,3546
3/11/2015,3285,2170,9343,4162,11619,3629
3/18/2015,3389,2224,9526,4264,11751,3691
3/25/2015,3429,2263,9602,4301,11841,3747
4/1/2015,3492,2314,9712,4332,11974,3799
4/8/2015,3515,2333,9862,4408,12138,3831
4/15/2015,3548,2346,10042,4486,12201,3857
4/22/2015,3565,2358,10212,4573,12267,3877
4/29/2015,3584,2377,10322,4608,12371,3899
5/6/2015,3589,2386,10564,4716,12440,3903
5/13/2015,3597,2392,10604,4769,12523,3904
5/20/2015,3635,2407,10666,4806,12632,3907
5/27/2015,3641,2420,10666,4806,12706,3908
6/3/2015,3652,2429,10666,4806,12827,3912
6/10/2015,3670,2437,10666,4806,12901,3915
6/17/2015,3674,2444,10666,4806,12965,3919
6/24/2015,3718,2473,10666,4806,13059,3928
7/1/2015,3729,2482,10666,4806,13119,3932
7/8/2015,3748,2499,10670,4807,13155,3940
7/15/2015,3760,2506,10673,4808,13209,3947
7/22/2015,3783,2512,10672,4808,13250,3949
7/29/2015,3786,2520,10672,4808,13290,3951
8/5/2015,3784,2522,10672,4808,13406,3951
8/12/2015,3787,2524,10672,4808,13470,3951
8/19/2015,3786,2524,10672,4808,13494,3952
8/26/2015,3792,2527,10672,4808,13541,3952
9/3/2015,3792,2529,10672,4808,13638,3953
9/10/2015,3792,2530,10672,4808,13683,3953
9/17/2015,3792,2530,10672,4808,13756,3953
9/24/2015,3800,2532,10672,4808,13823,3955
10/1/2015,3805,2533,10672,4808,13911,3955
10/8/2015,3804,2534,10672,4808,13945,3955
10/15/2015,3800,2534,10672,4808,13982,3955
10/22/2015,3803,2535,10672,4808,14001,3955
10/29/2015,3806,2535,10672,4808,14061,3955
11/5/2015,3810,2536,10672,4808,14089,3955
11/11/2015,3805,2536,10672,4808,14122,3955
11/18/2015,3804,2536,10672,4808,14122,3955
11/25/2015,3804,2536,10675,4808,14122,3955
12/2/2015,3804,2536,10675,4809,14122,3955
12/9/2015,3804,2536,10675,4809,14122,3955
12/16/2015,3807,2536,10675,4809,14122,3955
12/23/2015,3804,2536,10675,4809,14122,3955
12/30/2015,3804,2536,10675,4809,14122,3955
1/6/2016,3804,2536,10675,4809,14122,3955
1/13/2016,3804,2536,10675,4809,14122,3955
1/20/2016,3804,2536,10675,4809,14123,3956
1/27/2016,3804,2536,10675,4809,14124,3956
2/3/2016,3804,2536,10675,4809,14124,3956
2/10/2016,3804,2536,10675,4809,14124,3956
2/17/2016,3804,2536,10675,4809,14124,3956
